| 7383 | Lifestyle      |
| 7215 | Gesellschaft   |
| 6514 | Wissen         |
| 4682 | Wirtschaft     |
| 4645 | Person         |
| 4539 | Digital        |
| 4534 | Familie        |
| 3841 | Sport          |
| 3671 | Persönlich     |
| 2990 | Food           |
| 2928 | Musik          |
| 2904 | Foto           |
| 2616 | Kultur         |
| 2525 | Sozial         |
| 2347 | Bonn           |
| 2339 | Bonn (Stadt)   |
| 2234 | Gruppen        |
| 1835 | Foto & Film    |
| 1826 | Politik        |
| 1711 | Bonn (Region)  |
| 1697 | Umwelt         |
| 1232 | Unterhaltung   |
| 1202 | Kunst & Kultur |
| 1103 | Kochen         |
|  980 | Reisen         |
|  950 | Reise          |
|  944 | Literatur      |
|  496 | Glaube         |
|  490 | Ausgehen       |
|  408 | Kommunikation  |
|  222 | Gesundheit     |
|  194 | Meetups        |
|  104 | Podcasts       |
|   99 | Recht          |

